56.323,12.916,25.554,73,11.106,28.22,89.511,7.6912,24.569,55.174,8.6149,18.78,60.632,10.451,15.21,61.263,5.2837,7.4081,80.706,2.7219,11.515,85.388,-3.4919,11.467,82.672,-4.8684,13.212
55.904,12.892,25.583,72.622,11.048,28.189,89.149,7.6578,24.618,54.603,8.7451,18.746,59.971,10.723,15.14,60.305,5.7035,7.2765,80.669,2.6304,11.433,85.387,-3.5002,11.454,82.67,-4.8713,13.206
55.489,12.868,25.609,72.218,10.981,28.147,88.744,7.6284,24.736,54.073,8.9374,18.665,59.31,10.959,15.154,59.387,6.1032,7.2043,80.64,2.5586,11.358,85.39,-3.5058,11.442,82.667,-4.8731,13.201
55.087,12.836,25.631,71.792,10.899,28.144,88.331,7.6055,24.873,53.664,8.8157,18.989,58.605,11.224,15.13,58.333,6.5354,7.0769,80.642,2.4386,11.336,85.391,-3.5135,11.428,82.665,-4.876,13.195
54.689,12.809,25.645,71.458,10.883,27.995,87.936,7.5752,25.034,53.085,8.848,18.892,57.844,11.483,15.173,57.299,6.9179,7.025,80.633,2.3604,11.301,85.393,-3.5196,11.421,82.664,-4.8779,13.192
54.277,12.797,25.661,71.117,10.856,27.883,87.542,7.5535,25.198,52.451,9.0463,18.687,57.101,11.692,15.259,56.283,7.2862,6.9948,80.588,2.3148,11.129,85.399,-3.5243,11.408,82.663,-4.8808,13.189
53.841,12.8,25.696,70.727,10.8,27.794,87.139,7.5254,25.318,52.164,9.0215,19.55,56.346,11.912,15.273,55.22,7.6567,6.9398,80.511,2.2334,11.017,85.401,-3.5302,11.398,82.625,-4.9043,13.24
53.437,12.801,25.693,70.324,10.744,27.751,86.734,7.4846,25.423,51.692,9.1248,19.695,55.626,12.072,15.394,54.134,8.0026,6.9043,80.481,2.1608,10.948,85.402,-3.5372,11.389,82.572,-4.9601,13.284
53.02,12.8,25.721,69.951,10.709,27.689,86.393,7.4733,25.45,51.057,9.2761,19.659,54.881,12.276,15.473,53.056,8.3158,6.8279,80.445,2.085,10.88,85.408,-3.5397,11.384,82.56,-4.9996,13.278
52.624,12.803,25.736,69.59,10.676,27.625,86.046,7.4482,25.474,50.48,9.2922,19.569,54.14,12.467,15.546,51.952,8.6135,6.9765,80.416,2.0374,10.822,85.41,-3.5447,11.379,82.561,-5.0025,13.279
52.198,12.813,25.783,69.275,10.684,27.494,85.737,7.4324,25.49,50.06,9.4099,19.503,53.439,12.647,15.511,50.857,8.8968,7.1314,80.379,1.9581,10.752,85.412,-3.5485,11.373,82.562,-5.0045,13.28
51.876,12.793,25.741,68.949,10.698,27.303,85.382,7.45,25.535,49.437,9.6155,19.356,52.77,12.798,15.508,49.762,9.169,7.2206,80.323,1.9209,10.659,85.414,-3.553,11.37,82.564,-5.0078,13.281
51.705,12.678,25.628,68.579,10.689,27.174,85,7.4303,25.601,48.946,9.7235,19.439,52.11,12.93,15.504,48.655,9.4182,7.296,80.287,1.8437,10.599,85.417,-3.5556,11.37,82.565,-5.0087,13.282
51.347,12.711,25.64,68.237,10.709,27.01,84.608,7.4086,25.681,48.771,9.3444,19.822,51.41,13.094,15.475,47.545,9.662,7.3817,80.26,1.793,10.539,85.421,-3.5564,11.36,82.735,-4.812,13.148
50.976,12.726,25.634,67.888,10.694,26.92,84.27,7.4277,25.69,48.18,9.6025,19.671,50.708,13.257,15.419,46.468,9.8387,7.6525,80.24,1.7493,10.493,85.421,-3.5565,11.323,82.6,-4.8977,13.293
50.589,12.751,25.65,67.492,10.657,26.869,83.924,7.4458,25.701,47.727,9.6443,19.715,50.021,13.377,15.421,45.331,10.052,7.8336,80.23,1.7334,10.334,85.419,-3.5576,11.321,82.587,-4.9356,13.288
50.219,12.783,25.639,67.119,10.657,26.746,83.576,7.4625,25.715,46.631,9.3463,20.807,49.392,13.429,15.459,44.219,10.235,8.065,80.237,1.7222,10.331,85.419,-3.552,11.313,82.641,-4.9746,13.174
49.846,12.821,25.618,66.806,10.71,26.561,83.234,7.4731,25.748,46.367,9.539,20.683,48.784,13.469,15.479,43.131,10.379,8.3737,80.217,1.6879,10.307,85.417,-3.5494,11.31,82.649,-4.9347,13.173
49.48,12.857,25.624,66.496,10.747,26.433,82.882,7.4893,25.755,45.931,9.6415,20.68,48.121,13.51,15.446,42.061,10.562,8.6594,80.2,1.6636,10.279,85.417,-3.5434,11.302,82.646,-4.9313,13.169
49.093,12.895,25.665,66.159,10.784,26.342,82.528,7.5036,25.754,45.506,9.709,20.64,47.397,13.59,15.377,41.19,10.537,9.3114,80.124,1.6185,10.191,85.411,-3.5353,11.311,82.643,-4.9279,13.166
48.76,12.939,25.683,65.677,10.823,26.374,82.168,7.5265,25.757,45.113,9.8462,20.622,46.653,13.731,15.282,40.197,10.636,9.7154,80.037,1.5741,10.119,85.413,-3.5268,11.304,82.639,-4.9243,13.161
48.406,12.982,25.668,65.354,10.873,26.269,81.801,7.5573,25.778,44.514,9.8001,20.844,45.902,13.813,15.259,39.153,10.715,9.5534,80.007,1.5302,10.112,85.409,-3.519,11.303,82.463,-5.0235,13.357
48.04,13.027,25.682,65.014,10.9,26.157,81.455,7.6029,25.775,43.92,9.9611,20.923,45.217,13.844,15.238,38.185,10.975,9.6686,79.988,1.5078,10.11,85.404,-3.5117,11.306,82.446,-5.0533,13.346
47.66,13.093,25.709,64.65,10.94,26.056,81.108,7.6383,25.767,43.222,9.8408,21.167,44.542,13.895,15.213,37.244,10.974,10.039,79.962,1.4851,10.085,85.404,-3.5,11.299,82.414,-5.075,13.362
47.322,13.147,25.74,64.303,10.973,25.983,80.759,7.6945,25.758,42.731,9.9047,21.239,43.913,13.868,15.237,36.561,10.918,10.653,79.924,1.4615,10.112,85.399,-3.4884,11.299,82.407,-5.0628,13.359
46.965,13.22,25.751,63.995,11.058,25.858,80.415,7.7396,25.746,42.339,9.9178,21.188,43.279,13.842,15.251,35.62,10.979,10.932,79.887,1.4517,10.099,85.397,-3.4731,11.295,82.401,-5.0545,13.36
46.592,13.292,25.785,63.68,11.153,25.7,80.043,7.782,25.767,41.925,10.016,21.155,42.715,13.792,15.333,34.725,10.943,11.177,79.86,1.4324,10.104,85.39,-3.4609,11.299,82.395,-5.0463,13.36
46.252,13.364,25.816,63.352,11.215,25.617,79.638,7.8135,25.82,41.563,10.099,21.123,42.022,13.808,15.281,33.925,10.876,11.475,79.819,1.4223,10.106,85.385,-3.4427,11.299,82.391,-5.0411,13.357
45.893,13.436,25.826,63.016,11.277,25.538,79.278,7.8688,25.809,41.181,10.161,21.133,41.355,13.787,15.233,33.037,10.735,11.817,79.761,1.4068,10.133,85.383,-3.4221,11.299,82.387,-5.0319,13.356
45.512,13.52,25.877,62.664,11.319,25.487,78.928,7.9039,25.794,40.82,10.282,21.098,40.699,13.808,15.24,32.24,10.642,12.199,79.72,1.3972,10.126,85.373,-3.3982,11.313,82.383,-5.0188,13.347
45.184,13.606,25.903,62.329,11.392,25.41,78.581,7.9539,25.775,40.507,10.389,20.992,40.016,13.784,15.252,31.751,10.6,13.104,79.674,1.3966,10.157,85.363,-3.3784,11.314,82.376,-5.0031,13.34
44.844,13.688,25.884,61.982,11.485,25.287,78.232,8.0149,25.762,40.188,10.508,20.881,39.354,13.816,15.31,31.099,10.3,13.733,79.614,1.3935,10.201,85.331,-3.3667,11.343,82.365,-4.9846,13.338
44.492,13.772,25.891,61.663,11.572,25.2,77.878,8.0968,25.748,39.865,10.622,20.822,38.741,13.835,15.331,30.852,10.523,13.274,79.572,1.394,10.29,85.315,-3.3447,11.353,82.355,-4.9703,13.333
44.149,13.867,25.903,61.331,11.657,25.128,77.54,8.1619,25.716,39.351,10.61,20.945,38.139,13.859,15.354,29.971,10.663,13.286,79.503,1.4126,10.314,85.299,-3.3183,11.364,82.344,-4.956,13.329
43.796,13.949,25.947,61.012,11.753,25.035,77.268,8.2776,25.617,38.956,10.643,20.895,37.51,13.837,15.442,29.393,10.487,13.667,79.453,1.4103,10.415,85.29,-3.2804,11.37,82.321,-4.937,13.318
43.547,14.034,25.803,60.664,11.833,24.975,76.925,8.4005,25.605,38.287,10.638,21.212,37.102,13.901,15.279,28.85,10.437,13.871,79.365,1.4147,10.477,85.267,-3.2447,11.382,82.306,-4.9061,13.301
43.209,14.112,25.855,60.297,11.92,24.881,76.569,8.4566,25.602,38.031,10.768,21.118,36.524,13.944,15.35,28.228,10.319,13.994,79.271,1.4252,10.509,85.219,-3.2199,11.427,82.296,-4.8826,13.294
42.85,14.203,25.863,59.963,12.012,24.824,76.285,8.3993,25.662,37.549,10.756,21.278,35.986,13.945,15.385,27.693,10.227,14.207,78.982,1.5534,10.305,85.194,-3.1789,11.443,82.283,-4.8546,13.28
42.502,14.309,25.876,59.648,12.125,24.732,75.915,8.4655,25.666,37.116,10.821,21.35,35.424,13.948,15.497,27.186,10.143,14.329,78.887,1.5723,10.381,85.168,-3.1273,11.452,82.695,-5.0731,13.637
42.148,14.4,25.941,59.312,12.216,24.681,75.564,8.5489,25.64,36.665,10.892,21.435,34.918,13.945,15.543,26.734,10.088,14.406,78.789,1.6008,10.475,85.109,-3.0798,11.501,82.651,-5.1011,13.628
41.827,14.495,25.98,58.96,12.308,24.633,75.207,8.6202,25.63,36.28,10.954,21.502,34.444,13.94,15.521,26.279,9.9933,14.512,78.667,1.6239,10.523,85.072,-3.0237,11.512,82.651,-5.0995,13.62
