pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pt7_X,pt7_Y,pt7_Z,pt8_X,pt8_Y,pt8_Z,pt9_X,pt9_Y,pt9_Z,pt10_X,pt10_Y,pt10_Z,pt11_X,pt11_Y,pt11_Z,pt12_X,pt12_Y,pt12_Z,pt13_X,pt13_Y,pt13_Z,pt14_X,pt14_Y,pt14_Z,pt15_X,pt15_Y,pt15_Z,pt16_X,pt16_Y,pt16_Z,pt17_X,pt17_Y,pt17_Z,pt18_X,pt18_Y,pt18_Z,pt19_X,pt19_Y,pt19_Z,pt20_X,pt20_Y,pt20_Z,pt21_X,pt21_Y,pt21_Z,pt22_X,pt22_Y,pt22_Z,pt23_X,pt23_Y,pt23_Z,pt24_X,pt24_Y,pt24_Z,pt25_X,pt25_Y,pt25_Z,pt26_X,pt26_Y,pt26_Z,pt27_X,pt27_Y,pt27_Z,pt28_X,pt28_Y,pt28_Z,pt29_X,pt29_Y,pt29_Z,pt30_X,pt30_Y,pt30_Z,pt31_X,pt31_Y,pt31_Z,pt32_X,pt32_Y,pt32_Z,pt33_X,pt33_Y,pt33_Z,pt34_X,pt34_Y,pt34_Z,pt35_X,pt35_Y,pt35_Z,pt36_X,pt36_Y,pt36_Z,pt37_X,pt37_Y,pt37_Z
-0.79319,20.633,64.373,3.2612,23.083,76.043,4.9371,17.901,55.013,-6.6192,15.401,55.685,-7.9094,12.131,56.315,-14.128,6.3164,56.008,-16.376,7.4453,57.106,-16.911,9.2598,57.972,-16.142,6.0303,57.477,-16.975,5.7245,56.751,-18.048,4.6767,57.102,-15.643,5.0827,57.249,-16.337,4.6608,57.235,-16.811,3.4478,56.02,-13.822,5.2281,57.283,-13.83,4.7177,56.946,-12.628,4.5389,55.824,-12.508,7.0684,57.743,-11.962,6.8838,57.839,-10.317,6.9879,68.886,9.3675,16.147,72.158,6.4576,13.368,71.747,0.56092,9.0516,69.011,-1.0477,10.184,67.726,-1.5861,10.939,65.893,-1.0244,12.543,68.364,-1.3886,9.3494,66.407,-1.9837,9.8251,65.301,-0.90714,9.5442,68.21,-1.0851,7.7839,67.455,-1.5091,6.4264,66.253,-0.051768,6.3491,69.241,-0.43175,7.7373,70.789,-0.51329,6.3725,70.603,1.3928,5.4166,72.115,0.14829,8.5954,74.665,-0.13761,8.6664,75.415
-0.61563,20.678,64.589,3.3685,23.15,76.309,4.9714,17.963,55.149,-6.4542,15.448,55.889,-7.7564,12.179,56.554,-13.982,6.3719,56.256,-16.234,7.5166,57.342,-16.772,9.3405,58.199,-15.999,6.0935,57.722,-16.83,5.7895,56.994,-17.901,4.7327,57.345,-15.499,5.139,57.504,-16.193,4.7184,57.494,-16.663,3.4962,56.281,-13.68,5.2847,57.544,-13.688,4.7746,57.211,-12.484,4.5878,56.087,-12.366,7.1327,57.996,-11.825,6.9501,58.098,-10.179,7.0505,69.201,9.3201,16.18,72.305,6.4291,13.394,71.914,0.51226,9.0878,69.182,-1.092,10.224,67.892,-1.6291,10.979,66.054,-1.0635,12.583,68.532,-1.435,9.3899,66.575,-2.0281,9.8664,65.469,-0.94722,9.5786,68.39,-1.1348,7.8213,67.631,-1.5574,6.4627,66.426,-0.10024,6.3806,69.432,-0.48609,7.7766,70.971,-0.57268,6.409,70.79,1.3348,5.4452,72.304,0.093051,8.6357,74.849,-0.19848,8.71,75.598
-0.43807,20.723,64.805,3.4757,23.216,76.576,5.0058,18.025,55.285,-6.2893,15.494,56.093,-7.6034,12.226,56.794,-13.836,6.4274,56.505,-16.092,7.5879,57.577,-16.634,9.4211,58.426,-15.856,6.1566,57.967,-16.685,5.8546,57.237,-17.753,4.7887,57.587,-15.355,5.1954,57.759,-16.048,4.7759,57.753,-16.515,3.5446,56.541,-13.537,5.3413,57.804,-13.547,4.8315,57.476,-12.34,4.6367,56.35,-12.224,7.197,58.25,-11.687,7.0165,58.356,-10.041,7.1131,69.517,9.2727,16.212,72.451,6.4006,13.419,72.081,0.46359,9.124,69.352,-1.1364,10.265,68.059,-1.6721,11.02,66.215,-1.1026,12.622,68.7,-1.4813,9.4303,66.744,-2.0725,9.9076,65.636,-0.9873,9.613,68.57,-1.1845,7.8586,67.806,-1.6057,6.4991,66.599,-0.14872,6.412,69.623,-0.54043,7.8159,71.153,-0.63207,6.4455,70.976,1.2768,5.4739,72.494,0.037816,8.676,75.034,-0.25935,8.7535,75.781
-0.26051,20.768,65.021,3.583,23.283,76.843,5.0402,18.087,55.42,-6.1244,15.541,56.297,-7.4504,12.273,57.033,-13.69,6.4829,56.754,-15.95,7.6593,57.812,-16.495,9.5018,58.652,-15.714,6.2198,58.212,-16.54,5.9196,57.48,-17.606,4.8448,57.829,-15.211,5.2517,58.015,-15.903,4.8335,58.013,-16.367,3.593,56.802,-13.394,5.3978,58.065,-13.405,4.8885,57.741,-12.197,4.6856,56.613,-12.082,7.2613,58.503,-11.549,7.0829,58.615,-9.9029,7.1756,69.833,9.2252,16.245,72.598,6.3721,13.445,72.248,0.41492,9.1603,69.523,-1.1807,10.305,68.225,-1.7151,11.06,66.376,-1.1417,12.662,68.868,-1.5277,9.4708,66.912,-2.117,9.9489,65.804,-1.0274,9.6475,68.751,-1.2342,7.896,67.981,-1.654,6.5355,66.773,-0.19719,6.4435,69.815,-0.59477,7.8552,71.336,-0.69146,6.482,71.162,1.2189,5.5025,72.683,-0.017419,8.7163,75.219,-0.32022,8.7971,75.963
-0.082954,20.813,65.237,3.6902,23.349,77.109,5.0745,18.149,55.556,-5.9594,15.588,56.501,-7.2975,12.321,57.272,-13.544,6.5384,57.002,-15.808,7.7306,58.048,-16.356,9.5824,58.879,-15.571,6.2829,58.457,-16.395,5.9846,57.723,-17.458,4.9008,58.072,-15.067,5.3081,58.27,-15.759,4.8911,58.272,-16.219,3.6415,57.062,-13.251,5.4544,58.326,-13.263,4.9454,58.005,-12.053,4.7345,56.877,-11.939,7.3256,58.757,-11.411,7.1493,58.874,-9.7647,7.2382,70.148,9.1778,16.277,72.744,6.3436,13.47,72.414,0.36626,9.1965,69.693,-1.225,10.346,68.392,-1.7582,11.101,66.538,-1.1808,12.701,69.036,-1.5741,9.5112,67.08,-2.1614,9.9902,65.971,-1.0675,9.6819,68.931,-1.2839,7.9333,68.156,-1.7023,6.5719,66.946,-0.24567,6.4749,70.006,-0.64911,7.8945,71.518,-0.75085,6.5185,71.348,1.1609,5.5312,72.873,-0.072655,8.7566,75.404,-0.38109,8.8407,76.146
0.094605,20.858,65.453,3.7975,23.416,77.376,5.1089,18.211,55.692,-5.7945,15.635,56.705,-7.1445,12.368,57.511,-13.397,6.5939,57.251,-15.666,7.8019,58.283,-16.217,9.6631,59.105,-15.428,6.3461,58.703,-16.249,6.0496,57.966,-17.311,4.9568,58.314,-14.923,5.3644,58.525,-15.614,4.9486,58.531,-16.071,3.6899,57.322,-13.108,5.5109,58.587,-13.121,5.0023,58.27,-11.909,4.7835,57.14,-11.797,7.3899,59.01,-11.273,7.2156,59.132,-9.6265,7.3008,70.464,9.1304,16.31,72.89,6.3151,13.496,72.581,0.31759,9.2327,69.864,-1.2694,10.387,68.558,-1.8012,11.142,66.699,-1.2199,12.741,69.204,-1.6205,9.5516,67.248,-2.2058,10.031,66.139,-1.1075,9.7164,69.112,-1.3336,7.9707,68.331,-1.7506,6.6083,67.119,-0.29414,6.5064,70.197,-0.70346,7.9338,71.7,-0.81024,6.555,71.534,1.1029,5.5598,73.062,-0.12789,8.7968,75.588,-0.44196,8.8842,76.329
0.27216,20.902,65.669,3.9047,23.482,77.643,5.1433,18.273,55.828,-5.6295,15.682,56.909,-6.9915,12.416,57.751,-13.251,6.6494,57.5,-15.524,7.8732,58.519,-16.078,9.7437,59.332,-15.286,6.4092,58.948,-16.104,6.1146,58.209,-17.163,5.0128,58.556,-14.779,5.4207,58.78,-15.469,5.0062,58.791,-15.922,3.7383,57.583,-12.965,5.5675,58.848,-12.979,5.0592,58.535,-11.766,4.8324,57.403,-11.655,7.4542,59.264,-11.135,7.282,59.391,-9.4883,7.3634,70.78,9.083,16.343,73.037,6.2866,13.521,72.748,0.26893,9.2689,70.034,-1.3137,10.427,68.725,-1.8442,11.182,66.86,-1.259,12.78,69.372,-1.6669,9.5921,67.417,-2.2503,10.073,66.306,-1.1476,9.7508,69.292,-1.3833,8.008,68.506,-1.7988,6.6447,67.292,-0.34261,6.5379,70.388,-0.7578,7.9731,71.882,-0.86962,6.5915,71.72,1.0449,5.5885,73.252,-0.18312,8.8371,75.773,-0.50283,8.9278,76.512
0.44972,20.947,65.885,4.012,23.548,77.909,5.1776,18.336,55.963,-5.4646,15.728,57.113,-6.8385,12.463,57.99,-13.105,6.7049,57.748,-15.381,7.9446,58.754,-15.939,9.8244,59.559,-15.143,6.4724,59.193,-15.959,6.1796,58.451,-17.016,5.0688,58.798,-14.635,5.4771,59.035,-15.325,5.0638,59.05,-15.774,3.7868,57.843,-12.822,5.624,59.109,-12.837,5.1161,58.8,-11.622,4.8813,57.667,-11.513,7.5185,59.517,-10.997,7.3484,59.65,-9.3501,7.426,71.095,9.0356,16.375,73.183,6.2581,13.547,72.915,0.22026,9.3051,70.205,-1.3581,10.468,68.891,-1.8872,11.223,67.021,-1.2981,12.82,69.54,-1.7132,9.6325,67.585,-2.2947,10.114,66.474,-1.1877,9.7852,69.472,-1.433,8.0454,68.681,-1.8471,6.6811,67.466,-0.39109,6.5693,70.58,-0.81214,8.0124,72.064,-0.92901,6.628,71.907,0.98692,5.6172,73.441,-0.23836,8.8774,75.958,-0.5637,8.9714,76.695
0.62728,20.992,66.101,4.1193,23.615,78.176,5.212,18.398,56.099,-5.2997,15.775,57.317,-6.6856,12.51,58.229,-12.959,6.7604,57.997,-15.239,8.0159,58.989,-15.801,9.905,59.785,-15.001,6.5355,59.438,-15.814,6.2447,58.694,-16.868,5.1248,59.041,-14.491,5.5334,59.29,-15.18,5.1213,59.309,-15.626,3.8352,58.104,-12.679,5.6806,59.369,-12.696,5.173,59.065,-11.479,4.9302,57.93,-11.371,7.5828,59.77,-10.859,7.4147,59.908,-9.2119,7.4885,71.411,8.9882,16.408,73.33,6.2296,13.572,73.082,0.17159,9.3413,70.375,-1.4024,10.508,69.058,-1.9302,11.264,67.182,-1.3372,12.859,69.708,-1.7596,9.673,67.753,-2.3391,10.155,66.641,-1.2278,9.8197,69.653,-1.4827,8.0827,68.856,-1.8954,6.7175,67.639,-0.43956,6.6008,70.771,-0.86648,8.0517,72.246,-0.9884,6.6645,72.093,0.92893,5.6458,73.631,-0.2936,8.9177,76.142,-0.62457,9.0149,76.878
0.80484,21.037,66.317,4.2265,23.681,78.442,5.2463,18.46,56.235,-5.1347,15.822,57.521,-6.5326,12.558,58.469,-12.813,6.8159,58.246,-15.097,8.0872,59.225,-15.662,9.9857,60.012,-14.858,6.5987,59.683,-15.669,6.3097,58.937,-16.721,5.1808,59.283,-14.347,5.5898,59.545,-15.035,5.1789,59.569,-15.478,3.8836,58.364,-12.536,5.7371,59.63,-12.554,5.23,59.33,-11.335,4.9791,58.193,-11.229,7.6471,60.024,-10.721,7.4811,60.167,-9.0737,7.5511,71.727,8.9408,16.441,73.476,6.2011,13.598,73.249,0.12293,9.3776,70.546,-1.4468,10.549,69.224,-1.9732,11.304,67.343,-1.3763,12.899,69.876,-1.806,9.7134,67.922,-2.3836,10.197,66.809,-1.2679,9.8541,69.833,-1.5324,8.1201,69.031,-1.9437,6.7538,67.812,-0.48804,6.6323,70.962,-0.92082,8.091,72.429,-1.0478,6.701,72.279,0.87095,5.6745,73.82,-0.34883,8.958,76.327,-0.68544,9.0585,77.061
